game_id,inning,home_or_away,pitcher_id,batter_id,batter_hit_type,pitcher_vs_batter_avg,batter_recent_avg,score_diff,out_count,is_base1,is_base2,is_base3,total_pitch_count,inning_pitch_count,pa_result,reward_wpa,pitches_per_pa,pa_avg_pitch_speed,_orig_idx,base_state,half,score_diff_attacker,we_before,runs_scored,inning_ended,we_after,data_quality_flag,reward_wpa_computed
20160317SKHH02016,8,0,66748,75151,R,0.0,0.75,-1,1,1,1,0,29,14,UNK,,1,143.0,56,12,top,1,0.753,0,False,0.81,,0.05700000000000005
20160317SKHH02016,8,0,66748,74846,L,0.0,0.5,-1,1,1,1,1,30,15,HR,,6,134.16666666666666,57,123,top,1,0.81,4,False,0.972,,0.16199999999999992
20160317SKHH02016,8,0,66748,71848,L,0.0,0.0,-5,1,0,0,0,36,21,OUT,,3,135.0,58,0,top,5,0.972,0,False,0.972,,0.0
20160317SKHH02016,8,0,66748,62893,L,0.0,0.25,-5,2,0,0,0,39,24,OUT,,1,145.0,59,0,top,5,0.972,0,True,0.954,,-0.018000000000000016
20160317SKHH02016,8,1,75250,73602,R,0.0,0.5,-5,0,0,0,0,1,1,OUT,,2,145.0,60,0,bot,-5,0.046,0,False,0.046,,0.0
20160317SKHH02016,8,1,75250,61700,L,0.0,0.0,-5,1,0,0,0,3,3,OUT,,4,141.25,61,0,bot,-5,0.046,0,False,0.046,,0.0
20160317SKHH02016,8,1,75250,75808,R,0.0,0.0,-5,2,0,0,0,7,7,UNK,,2,130.0,62,0,bot,-5,0.046,0,False,0.066,,0.020000000000000004
20160317SKHH02016,8,1,75250,74163,L,0.0,0.0,-5,2,1,0,0,9,9,OUT,,2,143.0,63,1,bot,-5,0.066,0,True,0.028000000000000025,,-0.03799999999999998
20160317SKHH02016,9,0,74857,72860,R,0.0,0.5,-5,0,0,0,0,1,1,SO,,6,133.83333333333334,64,0,top,5,0.972,0,False,0.972,,0.0
20160317SKHH02016,9,0,74857,76849,L,0.0,0.333,-5,1,0,0,0,7,7,OUT,,4,133.75,65,0,top,5,0.972,0,False,0.972,,0.0
20160317SKHH02016,9,0,74857,71837,R,0.0,0.0,-5,2,0,0,0,11,11,SO,,4,128.0,66,0,top,5,0.972,0,True,0.954,,-0.018000000000000016
20160317SKHH02016,9,1,61557,74729,R,0.0,0.5,-5,0,0,0,0,1,1,BB,,5,138.2,67,0,bot,-5,0.046,0,False,0.066,,0.020000000000000004
20160317SKHH02016,9,1,61557,66740,R,0.0,0.0,-5,0,1,0,0,6,6,GDP,,2,133.0,68,1,bot,-5,0.066,0,False,0.046,,-0.020000000000000004
20160317SKHH02016,9,1,61557,73136,L,0.0,0.5,-5,2,0,0,0,8,8,BB,,11,137.63636363636363,69,0,bot,-5,0.046,0,False,0.066,,0.020000000000000004
20160317SKHH02016,9,1,61557,71347,L,0.0,0.25,-5,2,1,0,0,19,19,HR,,1,142.0,70,1,bot,-5,0.066,2,False,0.077,,0.010999999999999996
20160317SKHH02016,9,1,61557,64086,R,0.0,0.0,-3,2,0,0,0,20,20,SO,,3,131.0,71,0,bot,-3,0.077,0,True,0.061000000000000054,,-0.015999999999999945
